Front	Back	Tags
אֲדֹנָי / יְיָ	<div class="translit">Adonai</div><div class="english">Lord / divine name as read aloud</div><div class="notes">Divine name as pronounced in prayer</div>	siddur hebrew prayer_vocab type_divine_name
אֱלֹהִים	<div class="translit">Elohim</div><div class="english">God</div>	siddur hebrew prayer_vocab type_divine_name
אֱלֹהֵינוּ	<div class="translit">Eloheinu</div><div class="english">our God</div><div class="notes">Common fixed prayer form</div>	siddur hebrew prayer_vocab type_liturgical_form
אֵל	<div class="translit">El</div><div class="english">God</div>	siddur hebrew prayer_vocab type_divine_name
אַתָּה	<div class="translit">atah</div><div class="english">you</div>	siddur hebrew prayer_vocab type_pronoun
אֲנַחְנוּ	<div class="translit">anachnu</div><div class="english">we</div>	siddur hebrew prayer_vocab type_pronoun
אֲנִי	<div class="translit">ani</div><div class="english">I</div>	siddur hebrew prayer_vocab type_pronoun
הוּא	<div class="translit">hu</div><div class="english">he / it is</div>	siddur hebrew prayer_vocab type_pronoun
הִיא	<div class="translit">hi</div><div class="english">she / it is</div>	siddur hebrew prayer_vocab type_pronoun
בָּרוּךְ	<div class="translit">barukh</div><div class="english">blessed</div>	siddur hebrew prayer_vocab type_adjective
אָמֵן	<div class="translit">amen</div><div class="english">amen / truly</div>	siddur hebrew prayer_vocab type_particle
מֶלֶךְ	<div class="translit">melekh</div><div class="english">king</div>	siddur hebrew prayer_vocab type_noun
קָדוֹשׁ	<div class="translit">kadosh</div><div class="english">holy</div>	siddur hebrew prayer_vocab type_adjective
קֹדֶשׁ	<div class="translit">kodesh</div><div class="english">holiness / holy thing</div>	siddur hebrew prayer_vocab type_noun
שֵׁם	<div class="translit">shem</div><div class="english">name</div>	siddur hebrew prayer_vocab type_noun
וְ־	<div class="translit">v'- / u-</div><div class="english">and</div><div class="notes">Prefix attached to the next word</div>	siddur hebrew prayer_vocab type_prefix
בְּ־	<div class="translit">b'-</div><div class="english">in / with / by</div><div class="notes">Prefix attached to the next word</div>	siddur hebrew prayer_vocab type_prefix
לְ־	<div class="translit">l'-</div><div class="english">to / for</div><div class="notes">Prefix attached to the next word</div>	siddur hebrew prayer_vocab type_prefix
מִן / מִ־	<div class="translit">min / mi-</div><div class="english">from</div><div class="notes">Can appear as a word or prefix</div>	siddur hebrew prayer_vocab type_prefix
הַ־	<div class="translit">ha-</div><div class="english">the</div><div class="notes">Definite article attached to nouns</div>	siddur hebrew prayer_vocab type_prefix
שֶׁ־	<div class="translit">she-</div><div class="english">that / which</div><div class="notes">Relative prefix</div>	siddur hebrew prayer_vocab type_prefix
אֶת	<div class="translit">et</div><div class="english">direct-object marker; usually untranslated</div><div class="notes">Marks a definite direct object</div>	siddur hebrew prayer_vocab type_particle
אֲשֶׁר	<div class="translit">asher</div><div class="english">who / that / which</div>	siddur hebrew prayer_vocab type_particle
כִּי	<div class="translit">ki</div><div class="english">because / for / that</div>	siddur hebrew prayer_vocab type_conjunction
כָּל	<div class="translit">kol</div><div class="english">all / every</div>	siddur hebrew prayer_vocab type_noun
עַל	<div class="translit">al</div><div class="english">on / upon / concerning</div>	siddur hebrew prayer_vocab type_preposition
עִם	<div class="translit">im</div><div class="english">with</div>	siddur hebrew prayer_vocab type_preposition
אֶל	<div class="translit">el</div><div class="english">to / toward</div>	siddur hebrew prayer_vocab type_preposition
לֹא	<div class="translit">lo</div><div class="english">no / not</div>	siddur hebrew prayer_vocab type_particle
אֵין	<div class="translit">ein</div><div class="english">there is not</div>	siddur hebrew prayer_vocab type_particle
לִפְנֵי	<div class="translit">lifnei</div><div class="english">before / in front of</div>	siddur hebrew prayer_vocab type_preposition
לְפָנֶיךָ	<div class="translit">l'fanekha</div><div class="english">before You</div><div class="notes">Common prayer form addressed to God</div>	siddur hebrew prayer_vocab type_liturgical_form
עָלֵינוּ	<div class="translit">aleinu</div><div class="english">upon us / it is upon us</div><div class="notes">Also the name of the Aleinu prayer</div>	siddur hebrew prayer_vocab type_liturgical_form
